title,brand,price,genre,group_size,image
Lapo多功能行動電源,Lapo,1580,3C,30,https://upload.cc/i1/2023/12/29/12mTjG.jpg
SWAY直捲兩用平板夾 離子夾,TYMO,1999,Beauty,20,https://upload.cc/i1/2024/01/01/UEdZJH.jpg
Woky保溫杯/渾圓杯,WOKY,1380,Domestic,30,https://upload.cc/i1/2024/01/01/3caYjK.jpg
LOJEL 前開式擴充防盜防爆拉鍊行李箱,LOJEL,11500,Travel,15,https://upload.cc/i1/2024/01/01/e9bHpM.jpg
台灣Oclean X 專業版智慧電動牙刷,Oclean X,2500,Domestic,30,https://upload.cc/i1/2024/01/01/mv0nJz.jpeg
台灣黑熊曲奇餅-繽紛三色,鴻鼎果子,405,Food,40,https://upload.cc/i1/2024/01/01/x16aA4.jpg
